Resin#,Reactor,Reaction Solvent,AN,OHN,OHN (primary),OHN (secondary),IV,IV - Intrinsic,Tg,Tg∞ (°C),Cyclic Oligomer (%),Mn (PS),Mw (PS),Mz (PS),PDI (PS),Mn (abs),Mw (abs),Mz (abs),PDI (abs),%SA,%ADP,%DDDA,%AZL,"%1,4-CHDA","%1,4-CHDA (95% trans)","%1,3-CHDA","%1,2-CHDA",%HHPA,%PA,%IPA,%TPA,%TMA,%Total Acid,%EG,%DEG,"%1,3-PROP","%1,4-BUT",%HDO,%NPG,"%1,4-CHDM","%1,3-CHDM",%TMCD,%TMP,%MPD,%TCDDM,%Total Glycol,End
1,Kettle,A150ND,4.5,19,3,16,0.279,,81.65,,,9789,24619,44116,2.515,,,,,,,,,30.6,,,,,,49.8,19.6,,100,,,,,,,59.1,,40.1,0.8,,,100,
2,Kettle,A150ND,0.7,19,5,14,0.321,,85.75,,,12262,29295,51337,2.389,,,,,,,,,30.5,,,,,,49.7,19.7,,100,,,,,,,53.9,,45.3,0.8,,,100,
3,Kettle,A150ND,2.4,19,4,15,0.272,,84.04,,,9759,22358,37752,2.291,,,,,,,,,30.7,,,,,,49.7,19.7,,100,,,,,,,53.9,,45.4,0.7,,,100,
4,Kettle,A150ND,2.3,22,6,16,0.257,,33.51,,,9191,22516,39012,2.45,,,,,29.9,,,,,,,,,,50.2,19.9,,100,,,,,,47.4,,,51.6,1,,,100,
5,Kettle,A150ND,2.1,26,4,21,0.26,,40.78,,,9272,21043,35057,2.27,,,,,29.4,,,,,,,,,,50.8,19.8,,100,,,,,,,48.4,,50.8,0.8,,,100,
9,Kettle,A150ND,1.9,,,,,,,,,,,,,,,,,,30,,,,,,,,,43,27,,100,,,,,,76,,,24,,,,100,
10,Rig,Neat,3.1,12,8,4,,,34,,,11943,26746,,2.24,6015,10720,,1.78,,30,,,,,,,,,43,27,,100,,,,,,76,,,24,,,,100,
11,Kettle,A150ND,3.1,19,11,8,,,33,,,8333,17973,27517,2.16,4384,7633,10593,1.74,,,20,,,,,,,,49,31,,100,,,,,,76,,,24,,,,100,
12,Kettle,A150ND,3.2,13,8,5,,,33,,,10211,23278,35820,2.28,5277,9518,13252,1.8,,30,,,,,,,,,43,27,,100,,,,,,76,,,24,,,,100,
13,Kettle,A150ND,2.2,15,8,7,,,60,,,9638,20881,31268,2.17,4991,8687,11873,1.74,,,,,30,,,,,,43,27,,100,,,,,,76,,,24,,,,100,
14,Kettle,A150ND,3.4,13,7,6,,,56,,,10543,22759,34088,2.16,5380,9350,12780,1.74,,,,,30,,,,,,43,27,,100,,,,,,76,,,24,,,,100,
15,Kettle,A150ND,13.4,14.2,,,,,62,,,9769,25059,38981,2.57,5150,10116,14274,1.96,,,,,,,,,30,,43,27,,100,,,,,,76,,,24,,,,100,
16,Kettle,A150ND,3.2,17,9,8,,,23,,,9590,21381,32685,2.23,4969,8853,12286,1.78,30,,,,,,,,,,43,27,,100,,,,,,76,,,24,,,,100,
17,Kettle,A150ND,3,14,8,6,,,22,,,9424,20765,32088,2.2,4890,8634,12034,1.77,30,,,,,,,,,,43,27,,100,,,,,,76,,,24,,,,100,
18,Kettle,A150ND,3,22,13,9,,,19,,,7765,16294,26224,2.1,4104,7012,9994,1.71,,40,,,,,,,,,37,23,,100,,,,,,76,,,24,,,,100,
19,Kettle,A150ND,2.5,21,9,12,,,41,,,8117,16898,27612,2.08,4257,7230,,1.7,,,,,60,,,,,,24,16,,100,,,,,,76,,,24,,,,100,
20,Kettle,A150ND,2.6,22,9,13,,,28,,,8354,18769,39983,2.25,4346,7808,,1.8,,,,,90,,,,,,6,4,,100,,,,,,76,,,24,,,,100,
21,Kettle,A150ND,3.9,25,14,11,,,22,,,8943,24875,46426,2.78,4734,9938,16039,2.1,30,,,,,,,,,,43,27,,100,,,,,,74,,,24,2,,,100,
22,Kettle,A150ND,3.7,25,15,10,,,22,,,8405,27879,63423,3.32,4496,10801,20309,2.4,,40,,,,,,,,,37,23,,100,,,,,,74,,,22,4,,,100,
23,Kettle,A150ND,4.7,26,14,12,,,22,,,8133,27177,60938,3.34,4385,10580,19666,2.41,30,,,,,,,,,,43,27,,100,,,,,,74,,,22,4,,,100,
24,Kettle,A150ND,3.4,22,8,14,,,23,,,19343,54768,113732,2.83,8994,19338,34010,2.15,,,,,100,,,,,,,,,100,,,,,,76,,,24,,,,100,
25,Kettle,A150ND,3.7,23,8,14,,,24,,,13931,37784,77614,2.71,6727,14064,24795,2.1,,,,,100,,,,,,,,,100,,,,,,76,,,22,2,,,100,
26,Kettle,A150ND,3.7,27,12,15,,,28,,,13512,42838,95905,3.17,6619,15552,29327,2.35,,,,,100,,,,,,,,,100,,,,,,74,,,22,4,,,100,
27,Kettle,A150ND,0.8,26,9,17,,,33,,,11054,53341,,4.83,5764,18292,46325,3.17,,29.9,,,,,,,,,70.1,,,100,,,,,,,,,42.6,3.5,54,,100,
28,Kettle,A150ND,3,45.2,INS,INS,,,37,,,8126,62007,,7.63,4456,20093,69365,4.51,,29.9,,,,,,,,,70.1,,,100,,,,,,,,,42.7,7.2,50.1,,100,
29,Kettle,A150ND,4.3,,,,,,,,,7630,227635,2543018,29.83,4269,54730,434321,12.82,,30,,,,,,,,,70,,,100,,,,,,,,,43,12,45,,100,
30,Kettle,A150ND,4.4,43.4,INS,INS,,,35,,,7845,135503,988440,17.27,4400,37070,195742,8.43,,29.5,,,,,,,,,70.5,,,100,,,,,,,,,43.4,7.8,48.8,,100,
31,Kettle,A150ND,3.5,49,18,31,,,31,,,5121,19108,49647,3.73,2926,7735,16227,2.64,,29.1,,,,,,,,,70.9,,,100,,,,,,,,,43,9.1,48,,100,
32,Kettle,A150ND,4,25,9,16,,,32,,,8032,29000,68290,3.61,4356,11141,21526,2.56,30.5,,,,,,,,,,69.5,,,100,,,,,,,,,41.6,3.9,54.6,,100,
33,Kettle,A150ND,4.3,40,INS,INS,,,24,,,7860,71869,357191,9.14,4402,22652,82084,5.15,30.8,,,,,,,,,,69.2,,,100,,,,,,,,,42.4,7.6,50,,100,
34,Kettle,A150ND,4.5,44.1,INS,INS,,,,,,8120,258451,2687441,31.83,4570,61357,458944,13.43,30,,,,,,,,,,70,,,100,,,,,,,,,43,10,47,,100,
35,Kettle,A150ND,4.4,47,16,31,,,19,,,4918,19154,49296,3.89,2841,7751,16181,2.73,30.8,,,,,,,,,,69.2,,,100,,,,,,,,,42.5,9.7,47.8,,100,
36,Kettle,A150ND,4.2,30.1,INS,INS,,,23,,,8029,28278,64362,3.52,4348,10924,20606,2.51,35.8,,,,,,,,,,64.2,,,100,,,,,,52.6,,,44,3.4,,,100,
37,Kettle,A150ND,4,31,13,18,,,23,,,7779,59028,253629,7.59,4342,19422,61903,4.47,35.8,,,,,,,,,,64.2,,,100,,,,,,48.4,,,43.5,8,,,100,
38,Kettle,A150ND,3.8,71.6,INS,INS,,,18,,,5160,19558,49034,3.79,2953,7901,16212,2.68,36,,,,,,,,,,64,,,100,,,,,,40.8,,,48.1,11.1,,,100,
39,Kettle,A150ND,4.2,27.2,INS,INS,,,25,,,7228,23101,47485,3.2,3958,9259,16138,2.34,41,,,,,,,,,,59,,,100,,,,,,,52.6,,43.8,3.7,,,100,
40,Kettle,A150ND,1.4,34.4,INS,INS,,,29,,,5619,31285,143616,5.57,3217,11400,36190,3.54,41,,,,,,,,,,59,,,100,,,,,,,49.5,,43.3,7.2,,,100,
41,Kettle,A150ND,1.2,61.7,INS,INS,,,19,,,6253,26520,70880,4.24,3512,10204,21957,2.91,40.5,,,,,,,,,,59.5,,,100,,,,,,,47.7,,42.3,10,,,100,
42,Kettle,A150ND,3.6,98.9,INS,INS,,,18,,,4931,19524,51248,3.96,2843,7861,16727,2.77,38,,,,,,,,,,62,,,100,,,,,,,,,42.7,11.5,45.7,,100,
43,Kettle,A150ND,3.3,108.9,INS,INS,,,19,,,4656,20572,59473,4.42,2708,8153,18788,3.01,30.7,,,,,,,,,,69.3,,,100,,,,,,,,,42.5,15.7,41.8,,100,
44,Kettle,A150ND,3,21,12,9,,,31,,,7896,16031,,2.03026849,4151,6933,,1.670199952,,30,,,,,,,,,43,27,,100,,,,,,76,,,24,,,,100,
45,Kettle,A150ND,3.1,21,12,9,,,21.89,,,7398,15859,,2.143687483,3942,6841,,1.735413496,,,,30,,,,,,,43,27,,100,,,,,,76,,,24,,,,100,
46,Kettle,A150ND,3.2,20,12,8,,,16.1,,,7726,16428,,2.126326689,4095,7069,,1.726251526,,,30,,,,,,,,43,27,,100,,,,,,76,,,24,,,,100,
47,Kettle,A150ND,2.9,21,11,10,,,35.3,,,7631,15571,,2.040492727,4031,6760,,1.677003225,,,,20,,,,,,,49,31,,100,,,,,,76,,,24,,,,100,
48,Kettle,A150ND,3.2,21,11,10,,,41.1,,,7790,16559,,2.125673941,4127,7117,,1.724497213,,,15,,,,,,,,52,33,,100,,,,,,76,,,24,,,,100.3,
49,Kettle,A150ND,3.7,2,1,1,0.628,0.655,89.7,,,17751,38228,57542,2.154,8421,14564,,,,,,,,,,,,,71,29,,100,,,,,10,,45,,22.8,,,22.5,100,
50,Kettle,A150ND,3.1,5,2,3,0.494,0.51,69.05,,,19652,42934,64851,2.185,11630,23100,,,,,,,,,,,,,71.1,28.9,,100,,,,,9.7,,45.5,,22.5,,,22.4,100,
51,Kettle,A150ND,3.5,5,,,0.44,0.453,100.5,,,18758,40533,,2.161,11125,21884,,1.967,,,,,,,,,,,70,30,,100,,,,,,,45.3,,44.4,,10.3,,100,
52,Kettle,A150ND,5.6,8,1,7,0.639,0.667,83.8,,,15151,50054,116318,3.304,9161,26356,56342,2.877,,,,,,,,,,,71.4,28.6,,100,,,,,10,,42.6,,45.9,1.5,,,100,
53,Kettle,A150ND,5.1,6,,,0.581,0.605,87.7,,,11495,37736,64688,3.283,7271,20380,33143,2.803,,,,,,,,,,,71,29,,100,,,,,10,,43,,45.6,1.4,,,100,
54,Kettle,A150ND,3.1,11,4,8,0.262,0.266,82.5,,,13681,27765,41246,2.029,8218,15331,21930,1.866,,,,,,,,,,,70.5,29.5,,100,,,,,,,39.2,,40,,20.8,,100,
55,Kettle,A150ND,3.2,3,1,2,0.518,0.537,91.6,,,21342,51046,79399,2.392,10044,18608,26072,1.853,,,,,,,,,,,71.1,28.9,,100,,,,,,,39.4,,39.6,,21,,99.9,
56,Kettle,A150ND,5.2,6,2,4,0.454,0.468,88.6,,,14998,50086,98897,3.34,9236,26502,48886,2.869,,,,,,,,,,,70.2,29.8,,100,,,,,,,39.3,,39.3,0.7,20.6,,100,
57,Kettle,A150ND,5.4,4,1,3,0.527,0.546,90.3,,,14628,66551,139460,4.55,9308,34575,67269,3.715,,,,,,,,,,,85.2,14.8,,100,,,,,,,44.9,,44.6,0.4,10.1,,100.1,
58,Kettle,A150ND,2.8,17,4,13,0.291,0.297,80.9,,,9240,33614,67490,3.638,5890,18189,34129,3.088,,,,,,,,,,,85.2,14.8,,100,,,,,,,43.6,,44.9,1.8,9.8,,100,
59,Kettle,A150ND,5.3,10.6,,,0.42,0.432,,,,,,,,,,,,,,,,,,,,,,85,15,,100,,,,,,,44,,45,1,10,,100,
60,Kettle,A150ND,3.6,11,3,8,0.485,0.501,96.36,,,14481,71388,219671,4.93,,,,,,,,,,,,,,,85.5,14.5,,100,,,,,,,47.8,,45.2,2.2,4.8,,100.1,
61,Kettle,A150ND,5.6,11,4,8,0.412,0.424,89.97,,,13444,58562,157612,4.356,8304,30417,74285,3.663,,,,,,,,,,,85.5,14.5,,100,,,,,,,43.2,,50.4,1.7,4.8,,100,
62,Kettle,A150ND,4.75,22.2,,,0.241,0.245,86.13,,,10135,29135,57278,2.87,,,,,,,,,,,,,,,85,15,,100,,,,,,,43,,45,2,10,,100,
63,Kettle,A150ND,1.8,18,5,12,0.282,0.287,78.04,,,11586,29554,54057,2.551,,,,,,,,,,,,,,,85,15,,100,,,,,,,,,50,2,48,,100,
64,Kettle,A150ND,4.4,20,6,14,0.214,0.217,68.45,,,8436,21188,40451,2.51,,,,,,,,,,,,,,,70,30,,100,,,,,,48,,,50,2,,,100,
65,Kettle,A150ND,4.6,15,4,11,0.266,0.271,78.89,,,9800,25362,45474,2.59,,,,,,,,,,,,,,,70,30,,100,,,,,,,,,50,2,48,,100,
66,Kettle,A150ND,4.46,14,2,12,0.313,0.319,88.86,,,10955,28004,49712,2.56,,,,,,,,,30.5,,,,,,49.8,19.7,,100,,,,,,,48.4,,50.8,0.8,,,100,
67,Kettle,A150ND,6.02,17,5,12,0.22,0.223,92.63,,,8007,19288,32767,2.41,,,,,,,,,,,,,,,70.3,29.7,,100,,,,,,24.2,23.7,,51,1.1,,,100,
68,Kettle,A150ND,6,14,5,9,0.316,0.323,97.76,,,11230,30681,56571,2.73,,,,,,,,,30.6,,,,,,50,19.4,,100,,,,,,,38.8,,60.1,1.1,,,100,
69,kettle,A150ND,5.4,11,2,9,0.353,0.361,,,,12356,35510,67536,2.87,,,,,,,,,,,,,,,70.4,29.6,,100,,,,,,,43.6,,44.8,1.1,10.5,,100,
70,Kettle,A150ND,3.98,15,2,13,0.304,0.31,89.52,,,10650,27181,48418,2.55,,,,,,,,,29.6,,,,,,48.4,22,,100,,,,,,,48.5,,50.7,0.7,,,100,
71,Kettle,A150ND,4,22,5,17,0.222,0.225,91.7,,,8257,19735,33950,2.39,,,,,,,,,,,,,,,70.3,29.7,,100,,,,,,25.3,22.9,,50.7,1.1,,,100,
72,Kettle,A150ND,2.75,36.3,,,0.22,0.223,66.75,,,8146,19368,33311,2.38,,,,,,,,,30.6,,,,,,49.8,19.7,,100,,,,,,58.8,,,40.2,1.1,,,100,
73,Kettle,A150ND,1.05,,,,0.314,0.321,45.99,,,11881,28564,49556,2.4,,,,,31.1,,,,,,,,,,49.5,19.4,,100,,,,,,,47.7,,51.4,0.9,,,100,
74,Kettle,A150ND,4.28,18,7,11,0.254,0.259,61.8,,,9512,23771,42261,2.5,,,,,,,,,30.6,,,,,,50.1,19.3,,100,,,,,,58.3,,,40.5,1.2,,,100,
75,Kettle,A150ND,0,28,9,19,,,,,,,,,,,,,,30,,,,,,,,,,50,20,,100,,,,,,,48,,50,2,,,100,
76,Kettle,A150ND,4.82,14,14,0,0.318,0.325,54.11,,,11553,27730,57074,2.4,,,,,,,,,,,,,,,79.5,19.6,0.9,100,,,,,,,37.4,,,,62.6,,100,
77,Kettle,A150ND,1.38,,,,,,,,,,,,,,,,,,30,,,,,,,,,70,,,100,,,,,,,,,45,2,53,,100,
78,Kettle,A150ND,1.3,16,7,9,0.265,0.269,32.55,,,9279,22183,43712,2.391,,,,,,28.2,,,,,,,,,71.8,,,100,,,,,,,,,54.3,,45.7,,100,
79,Kettle,A150ND,0.69,27,12,14,0.231,0.235,32.26,,,7958,20109,37887,2.527,,,,,,28.5,,,,,,,,,71.5,,,100,,,,,,,,,46.1,1.1,52.8,,100,
80,Kettle,A150ND,0.83,31,14,17,0.246,0.25,33.26,,,8429,23976,50179,2.844,,,,,,29,,,,,,,,,71,,,100,,,,,,,,,45.9,2.5,51.6,,100,
81,Kettle,A150ND,2.02,33,13,20,0.198,0.2,31.15,,,7691,16310,26542,2.121,,,,,,29.2,,,,,,,,,70.8,,,100,,,,,,,,,45.2,,54.8,,100,
82,Kettle,A150ND,7.7,27,8,19,0.199,0.201,29.34,,,6719,14098,23749,2.098,,,,,,29.2,,,,,,,,,70.8,,,100,,,,,,,,,44.7,,55.3,,100,
83,Kettle,A150ND,3.23,19,5,14,0.569,0.591,36.75,,,13266,93058,412025,7.015,,,,,,28.6,,,,,,,,,71.4,,,100,,,,,,,,,46.5,2.5,51,,100,
