master_chemprop_input,IV
C1CC(CCC1C(=O)O)C(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.1530|0.2490|0.0980|0.2955|0.2005|0.0040|,0.27899999999999997
C1CC(CCC1C(=O)O)C(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.1526|0.2486|0.0985|0.2696|0.2266|0.0040|,0.321
C1CC(CCC1C(=O)O)C(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.1534|0.2484|0.0985|0.2694|0.2269|0.0035|,0.272
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.CC(C)(CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.1495|0.2510|0.0995|0.2370|0.2580|0.0050|,0.257
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.1470|0.2540|0.0990|0.2420|0.2540|0.0040|,0.26
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.OCCCCCCO.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.C1C(CC2C1C3CC(C2C3)CO)CO|0.3545|0.1448|0.0499|0.2247|0.1138|0.1123|,0.628
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.OCCCCCCO.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.C1C(CC2C1C3CC(C2C3)CO)CO|0.3553|0.1444|0.0485|0.2274|0.1124|0.1119|,0.494
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CC(CO)CO|0.3500|0.1500|0.2265|0.2220|0.0515|,0.44
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.OCCCCCCO.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.3570|0.1430|0.0500|0.2130|0.2295|0.0075|,0.639
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.OCCCCCCO.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.3550|0.1450|0.0500|0.2150|0.2280|0.0070|,0.581
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CC(CO)CO|0.3525|0.1475|0.1960|0.2000|0.1040|,0.262
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CC(CO)CO|0.3555|0.1445|0.1970|0.1980|0.1050|,0.518
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.3512|0.1491|0.1966|0.1966|0.0035|0.1031|,0.45399999999999996
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.4260|0.0740|0.2245|0.2230|0.0020|0.0505|,0.527
