,Resin#,Reactor,Reaction Solvent,AN,OHN,OHN (primary),OHN (secondary),IV,IV - Intrinsic,Tg,Tg∞ (°C),Cyclic Oligomer (%),Mn (PS),Mw (PS),Mz (PS),PDI (PS),Mn (abs),Mw (abs),Mz (abs),PDI (abs),%SA,%ADP,%DDDA,%AZL,"%1,4-CHDA","%1,4-CHDA (95% trans)","%1,3-CHDA","%1,2-CHDA",%HHPA,%PA,%IPA,%TPA,%TMA,%Total Acid,%EG,%DEG,"%1,3-PROP","%1,4-BUT",%HDO,%NPG,"%1,4-CHDM","%1,3-CHDM",%TMCD,%TMP,%MPD,%TCDDM,%Total Glycol,End,uncertainty,abs_error
124,144,Rig,Neat,17.15,25.40442198,,,0.161,0.163,,,,,,,,,,,,,,,,,,,,,,84.1,15.9,,100.0,,,,,,,,56.0,43.8,,,,99.7,,0.00019066163804382086,0.004705637693405151
120,140,Rig,Neat,20.65,18.54232931,,,0.156,0.158,,,,,,,,,,,,,,,,,,,,,,84.0,16.0,,100.0,,,,,,,,58.8,41.1,,,,99.9,,0.00022141641238704324,0.02617819607257843
115,135,Rig,Neat,22.66,22.41013994,,,0.163,0.165,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100.0,,,,,,,58.8,,41.0,,,,99.7,,0.0002653363044373691,0.011637240648269653
155,175,Rig,Neat,24.34,32.93935921,,,0.138,0.139,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,55.4,,44.4,,,,99.7,,0.00027938024140894413,0.007722482085227966
130,150,Rig,Neat,27.37,25.45544883,,,0.155,0.157,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,57.9,,41.8,,,,99.9,,0.00030521751614287496,0.013304650783538818
154,174,Rig,Neat,38.94,43.41929128,,,0.113,0.114,,,,,,,,,,,,,,,,,,,,,,85.2,14.8,,100.0,,,,,,,54.7,,45.0,,,,99.7,,0.0003086256328970194,0.004991844296455383
145,165,Rig,Neat,36.03,47.31791145,,,0.111,0.11199999999999999,,,,,,,,,,,,,,,,,,,,,,84.0,16.0,,100.0,,,,,,,52.4,,47.0,,,,99.5,,0.0003091982798650861,0.005581274628639221
131,151,Rig,Neat,25.46,24.72455474,,,0.147,0.14800000000000002,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100.0,,,,,,,57.7,,42.2,,,,99.9,,0.0003423616581130773,0.0015318244695663452
122,142,Rig,Neat,25.96,31.86464933,,,0.132,0.133,,,,,,,,,,,,,,,,,,,,,,84.2,15.8,,100.0,,,,,,,,56.0,43.7,,,,99.7,,0.00040581857319921255,0.002506077289581299
116,136,Rig,Neat,18.68,23.8131529,,,0.175,0.177,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100.0,,,,,,,58.0,,41.7,,,,99.9,,0.0005177080747671425,0.017997995018959045
121,141,Rig,Neat,19.54,19.30559602,,,0.177,0.179,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100.0,,,,,,,,58.7,41.1,,,,99.7,,0.0005244005005806684,0.012636587023735046
119,139,Rig,Neat,22.89,23.52659166,,,0.154,0.155,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100.0,,,,,,,,57.7,42.2,,,,99.9,,0.0005811023875139654,0.0026969462633132935
114,134,Rig,Neat,25.9,27.96479659,,,0.14400000000000002,0.146,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,57.3,,42.6,,,,99.9,,0.0006440425640903413,0.0026871860027313232
180,221,Rig,Neat,6.82,20.04,,,0.217,0.22,,,,,,,,,,,,,,,,,,,,,,84.7,15.3,,100.0,,,,,,,,55.9,43.9,,,,99.9,,0.0007912377477623522,0.0005255937576293945
184,225,Rig,Neat,5.35,17.4,,,0.215,0.218,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,,54.7,45.2,,,,99.9,,0.0012722259853035212,0.026400983333587646
185,226,Rig,Neat,5.47,16.6,,,0.222,0.225,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,,54.9,45.0,,,,99.9,,0.0013106170808896422,0.023103535175323486
293,C61,,,,,,,0.5379999999999999,,-23.0,-22.0,0.37,12197.0,35480.0,59782.0,2.909,,,,,,100.0,,,,,,,,,,,,100.0,,,,,,,,100.0,,,,,100.0,,0.0015431809006258845,0.007832884788513184
201,Resin 1a,Rig,Neat,12.0,14.1,,,0.22899999999999998,0.23199999999999998,52.12,,,6217.0,15114.0,23853.0,2.431,3449.0,6561.0,9365.0,1.902,,,,,,,,,,,100.0,,,100.0,,,,,,,40.1,,,,59.9,,100.0,,0.0016342239687219262,0.04953712224960327
183,224,Rig,Neat,6.31,11.92,,,0.245,0.249,,,,,,,,,,,,,,,,,,,,,,84.3,15.7,,100.0,,,,,,,,57.5,42.4,,,,99.9,,0.001642855117097497,0.02849501371383667
193,240,Rig,Neat,14.6,9.69,,,0.36200000000000004,0.371,-40.98,,,8385.0,21665.0,33883.0,2.5839999999999996,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,100.0,,,,,100.0,,0.001649791025556624,0.03544232249259949
164,184,Rig,Neat,5.56,32.96002159,,,0.258,0.262,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,55.4,,44.4,,,,100.0,,0.0017124958103522658,0.08403167128562927
230,Resin 8b,Rig,Neat,10.9,26.3,,,0.221,0.225,60.4,,,5338.0,18652.0,39763.0,3.4939999999999998,3084.0,7688.0,13816.0,2.4930000000000003,,,,,,,,,,,100.0,,,100.0,,,,,,,28.6,,19.4,3.4,48.6,,100.0,,0.002116492250934243,0.014903619885444641
134,154,Rig,Neat,11.8,9.309537112000001,,,0.256,0.26,,,,,,,,,,,,,,,,,,,,,,84.0,16.0,,100.0,,,,,,,59.5,,40.3,,,,99.8,,0.0021332716569304466,0.002269744873046875
179,204,Rig,Neat,5.17,18.5,,,0.23399999999999999,,70.61,,,7897.0,17280.0,29006.0,2.19,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,56.2,,43.7,,,,100.0,,0.0023244544863700867,0.04553961753845215
267,C35,,,,,,,0.171,,80.0,109.0,0.77,4293.0,10234.0,22597.0,2.384,,,,,,,,,100.0,,,,,,,,,100.0,,,,,,,,,100.0,,,,100.0,,0.0024380385875701904,0.04093948006629944
135,155,Rig,Neat,8.13,10.28351818,,,0.307,0.314,,,,,,,,,,,,,,,,,,,,,,84.9,15.1,,100.0,,,,,,,59.5,,40.4,,,,100.0,,0.0024390241596847773,0.01471683382987976
181,222,Rig,Neat,5.6,19.23,,,0.221,0.22399999999999998,,,,,,,,,,,,,,,,,,,,,,84.8,15.2,,100.0,,,,,,,,54.9,44.9,,,,99.9,,0.002500449540093541,0.010625481605529785
210,Resin 3b,Rig,Neat,11.3,23.1,,,0.26,0.265,52.29,,,6561.0,21650.0,44843.0,3.3,3669.0,8756.0,15340.0,2.386,,,,,,,,,,,100.0,,,100.0,,,,,,,38.9,,,4.0,57.2,,100.0,,0.002530683297663927,0.009777426719665527
161,181,Rig,Neat,3.94,19.87244676,,,0.251,0.255,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100.0,,,,,,,56.9,,43.1,,,,100.0,,0.0027024922892451286,0.004416525363922119
266,C34,,,,,,,0.649,,37.0,39.0,1.63,12064.0,55481.0,98127.0,4.599,,,,,,,,,100.0,,,,,,,,,100.0,,,,,,,,100.0,,,,,100.0,,0.0027110306546092033,0.04138290882110596
113,133,Kettle,A150ND,1.6,39.0,39,0,0.191,0.193,52.23,,,7058.0,18028.0,34830.0,2.5540000000000003,3788.0,7532.0,12482.0,1.9880000000000002,11.6,0.0,,,,,,,,,64.2,24.3,,100.0,,,,,,,,,,6.2,,93.8,99.9,,0.002783979522064328,0.06502647697925568
95,99,Kettle ,A150ND,1.5,36.0,36,0,0.218,0.221,77.77,,,8367.0,24839.0,53133.0,2.969,,,,,10.3,,,,,,,,,,,89.7,,100.0,,,,,,,,,,6.6,,93.4,100.0,,0.0028223348781466484,0.03987276554107666
249,C17,,,,,,,0.43700000000000006,,141.0,151.0,1.62,11129.0,43680.0,72941.0,3.925,,,,,,,,,,,,,,,100.0,,,100.0,,,,,,,,,100.0,,,,100.0,,0.0030255892779678106,0.10480326414108276
