Simple_tg_r2,Simple_tg_mae,Simple_iv_r2,Simple_iv_mae,OH_tg_r2,OH_tg_mae,OH_iv_r2,OH_iv_mae,OH+Mw_tg_r2,OH+Mw_tg_mae,OH+Mw_iv_r2,OH+Mw_iv_mae,CM_tg_r2,CM_tg_mae,CM_iv_r2,CM_iv_mae,BOB_tg_r2,BOB_tg_mae,BOB_iv_r2,BOB_iv_mae,PI (20)_tg_r2,PI (20)_tg_mae,PI (20)_iv_r2,PI (20)_iv_mae,PI (50)_tg_r2,PI (50)_tg_mae,PI (50)_iv_r2,PI (50)_iv_mae,PI (100)_tg_r2,PI (100)_tg_mae,PI (100)_iv_r2,PI (100)_iv_mae,SOAP_tg_r2,SOAP_tg_mae,SOAP_iv_r2,SOAP_iv_mae,MBTR_tg_r2,MBTR_tg_mae,MBTR_iv_r2,MBTR_iv_mae
-1.0963,37.0479,-0.2469,0.0924,0.804,10.9802,0.1441,0.0819,0.8056,10.2941,-0.0078,0.0828,0.8837,7.4859,0.1906,0.0814,0.8762,7.7881,0.1225,0.0838,0.8547,7.7293,0.1477,0.078,0.8841,8.2696,0.2811,0.076,0.8740000000000001,8.5317,0.1922,0.0772,0.8995,7.515,0.1635,0.0756,0.8958,7.5929,0.26899999999999996,0.07400000000000001
-1.041,38.7536,-0.2642,0.0941,0.7864,11.0267,0.2037,0.0808,0.8104,10.8528,-0.0773,0.0835,0.8952,7.1801,0.2043,0.0806,0.8548,7.9305,0.1004,0.0836,0.8873,7.2059,0.2359,0.0749,0.8955,8.1608,0.2575,0.0758,0.8858,8.2803,0.2088,0.0755,0.8755,7.9647,0.2923,0.071,0.9003,7.5424,0.3126,0.0719
-0.8272,37.1449,-0.1886,0.0928,0.8496,10.2131,0.1412,0.0823,0.8357,10.0929,-0.0379,0.0821,0.8856,7.3676,0.1722,0.0825,0.8831,7.5889999999999995,0.1929,0.0819,0.8899,7.3022,0.2684,0.0743,0.8956,8.2079,0.2384,0.0764,0.8581,8.8687,0.1814,0.0778,0.8532,8.4642,0.1244,0.0751,0.9003,7.5629,0.2618,0.0738
-0.9358,37.2273,-0.2051,0.0933,0.8290000000000001,10.6823,0.191,0.0827,0.8406,10.0821,-0.1547,0.085,0.8647,7.7288,0.0913,0.0844,0.8897,7.7066,0.1005,0.0833,0.8767,7.331,0.2176,0.0764,0.8287,9.4283,0.2575,0.0758,0.8876,8.0574,0.2287,0.0758,0.8888,7.6421,0.2994,0.0716,0.8817,7.95,0.2706,0.073
-1.196,38.3354,-0.21100000000000002,0.09300000000000001,0.8288,10.735999999999999,0.0875,0.0834,0.82,10.9753,0.0357,0.0819,0.8882,7.6065,0.1661,0.0846,0.8838,7.3479,0.1533,0.0829,0.8546,8.0559,0.2542,0.0745,0.8814,8.3025,0.2224,0.0766,0.8527,8.5762,0.1985,0.0783,0.8776,7.9037,0.1599,0.075,0.8965,7.5253,0.3432,0.0721
-1.1107,37.0136,-0.2219,0.094,0.8012,10.8847,0.1294,0.0827,0.8357,10.1551,0.0301,0.0819,0.895,7.3483,0.1805,0.0816,0.8822,7.187,0.1016,0.0832,0.8892,7.6306,0.2688,0.0729,0.8948,8.2363,0.2463,0.0755,0.853,8.2986,0.2286,0.0774,0.8224,8.8565,0.3406,0.0714,0.9026,7.537000000000001,0.3075,0.0721
-0.8473,37.1888,-0.1922,0.0924,0.8135,11.0887,0.2362,0.0788,0.8091,10.8651,-0.0701,0.0831,0.8726,8.148,0.0804,0.0842,0.8964,7.3232,0.1922,0.0817,0.8765,7.635,0.2323,0.0748,0.8743,8.5152,0.2836,0.0768,0.8532,8.8498,0.212,0.0773,0.8585,7.997999999999999,0.301,0.0693,0.8943,7.5086,0.3147,0.0714
-0.8832,37.7615,-0.2767,0.0939,0.8157,10.6065,0.1598,0.0813,0.813,10.3432,-0.013000000000000001,0.0821,0.884,7.6160000000000005,0.1839,0.08199999999999999,0.9002,7.2197,0.0896,0.0861,0.8677,8.0107,0.2347,0.0764,0.8911,8.3113,0.26,0.0763,0.8590000000000001,8.1816,0.2398,0.0762,0.8611,8.8047,0.2706,0.0719,0.9056,7.5298,0.3281,0.0719
-0.9754,37.2277,-0.2952,0.0929,0.8105,11.0973,0.2495,0.0797,0.7448,11.0711,-0.0059,0.0825,0.8885,7.1696,0.1103,0.08199999999999999,0.9084,7.2431,0.1925,0.0797,0.8148,8.3275,0.2435,0.0728,0.9068,7.919,0.2226,0.0762,0.8656,8.5769,0.2027,0.0778,0.8857,7.7679,0.1693,0.0749,0.9098,7.1247,0.3109,0.0731
-1.1079999999999999,37.4343,-0.3479,0.0931,0.8477,10.3931,0.2071,0.0795,0.8182,10.2293,-0.0428,0.0821,0.8756,7.9191,0.1923,0.0821,0.8829,7.2851,0.1218,0.0848,0.8762,7.6993,0.1984,0.0756,0.8998,7.9274,0.2107,0.076,0.8666,8.4372,0.2243,0.0779,0.8595,7.8392,0.0963,0.0762,0.8966,7.4823,0.2593,0.0742
-1.0277,37.5446,-0.2802,0.0937,0.8169,10.9408,0.2004,0.0807,0.8425,10.2058,-0.0584,0.083,0.8858,7.4466,0.2217,0.0796,0.8933,7.4318,0.0963,0.0846,0.8577,7.7869,0.2694,0.0744,0.8954,8.1706,0.262,0.0749,0.8748,8.6096,0.2324,0.0754,0.8491,8.0904,0.2987,0.071,0.8841,8.2736,0.2959,0.0738
-1.1384,37.0896,-0.2435,0.0931,0.8349,10.2097,0.0569,0.0817,0.8325,10.3787,-0.0564,0.08199999999999999,0.8721,7.5473,0.1576,0.0825,0.867,8.0309,0.1816,0.0826,0.8934,7.5089999999999995,0.2897,0.0732,0.8863,8.416,0.2616,0.0754,0.8602,8.2856,0.2216,0.0773,0.8884,7.5367,0.1196,0.0703,0.8949,7.5735,0.3115,0.0731
-1.1146,37.8178,-0.2146,0.0933,0.8244,10.8268,0.1797,0.081,0.8445,9.9173,0.0406,0.0818,0.879,7.9117,0.1396,0.0819,0.8812,7.8036,0.0542,0.0881,0.9208,6.9953,0.2467,0.0751,0.8672,8.4732,0.2839,0.0749,0.8479,8.4794,0.231,0.0763,0.8386,8.5025,0.3133,0.0697,0.8953,7.7409,0.2775,0.0738
-0.9882,36.9286,-0.2072,0.0928,0.7945,10.7044,0.1973,0.0797,0.8174,10.3764,-0.0603,0.084,0.8985,7.3441,0.1058,0.0826,0.8843,7.4222,0.1605,0.0821,0.8911,7.341,0.2263,0.0753,0.8897,8.0804,0.255,0.0769,0.8706,8.7907,0.2209,0.0772,0.8456,8.7665,0.2158,0.0723,0.9074,7.5424,0.3188,0.0714
