OH_tg_r2	OH_tg_mae	OH_iv_r2	OH_iv_mae	simp_tg_r2	simp_tg_mae	simp_iv_r2	simp_iv_mae	OHS_tg_r2	OHS_tg_mae	OHS_iv_r2	OHS_iv_mae
0.826797459	9.633567886	0.423899279	0.109737761	0.013297782	27.3291994	0.624784197	0.088330363	0.821950646	9.375000805	0.69432214	0.076794054
0.818612407	9.633403695	0.409126029	0.111748604	-0.013698516	27.80586607	0.662991548	0.085795465	0.825778199	9.483627658	0.71204453	0.070757513
0.806313645	10.04107524	0.366910139	0.112530376	-0.037449516	27.58539286	0.632310956	0.088277355	0.847620945	9.073657934	0.728720202	0.071930952
0.806155666	10.00215926	0.481554711	0.105906964	0.062548905	27.01649107	0.649407223	0.085337873	0.802394471	9.980795123	0.727867881	0.069890511
0.847605586	9.498271304	0.448026021	0.110309963	-0.028846339	27.83714881	0.644519994	0.086882663	0.843502536	8.75113811	0.717228307	0.072866781
0.824301999	9.194360732	0.431076878	0.108662508	0.006994126	27.70672024	0.629227889	0.089092674	0.852116836	8.670220665	0.693519518	0.073810219
0.824456298	9.549799451	0.42511826	0.110587528	-0.024564777	27.92771726	0.645983751	0.088276545	0.815552319	10.14962566	0.693216826	0.073114025
0.823869689	9.676470465	0.366030742	0.113357696	0.010256907	27.5688869	0.594731176	0.091265637	0.827567388	9.143758148	0.720602627	0.07043959
0.833667515	9.527314056	0.421462851	0.109219366	-0.002185792	27.2115119	0.620642989	0.088373788	0.822169981	9.50947086	0.687561042	0.072734397
0.825516053	9.71514308	0.434002934	0.109987564	0.024045605	27.83999107	0.631758897	0.087615072	0.860205447	9.051473783	0.694381231	0.074399072
0.807807771	10.01695487	0.437774025	0.111422925	-0.006387642	27.65203274	0.612879589	0.08930664	0.848530274	8.807565039	0.692767168	0.074666206
0.844838932	9.251022431	0.474501086	0.106067213	0.007945973	27.82237202	0.630252984	0.087221082	0.826855223	9.380107765	0.723809618	0.071990608
0.842848082	9.186750975	0.424324954	0.111491868	-0.020875597	27.62909226	0.605022785	0.086934352	0.838742208	9.197375328	0.706282553	0.070948648
0.797559136	9.416113251	0.446726663	0.108388237	-0.000328601	27.25842262	0.628842611	0.089323399	0.846122439	8.916720098	0.719981341	0.0702499
0.826857912	9.73108284	0.448114349	0.106180586	0.017918804	27.41907738	0.664380654	0.086674279	0.866152293	8.434560829	0.703815984	0.074361384
0.837056013	9.272807136	0.422435659	0.112242524	0.008012697	27.17204167	0.616378191	0.089642508	0.834523426	9.559107689	0.724179448	0.070977604
0.790802391	10.14668265	0.403482677	0.108151439	-0.081257265	28.80598214	0.626069442	0.086308048	0.818364415	9.780984569	0.722541863	0.069595665
