OH_tg_r2,OH_tg_mae,OH_iv_r2,OH_iv_mae,simp_tg_r2,simp_tg_mae,simp_iv_r2,simp_iv_mae,OHS_tg_r2,OHS_tg_mae,OHS_iv_r2,OHS_iv_mae
0.5469,16.6567,0.3989,0.1191,-0.5355,37.6048,0.1451,0.1435,0.5473,16.8079,0.539,0.1073
0.5393,16.5598,0.3923,0.1203,-0.5005,37.3932,0.0775,0.1455,0.5587,16.6032,0.5467,0.1055
0.5376,16.443,0.3979,0.1191,-0.6497,37.4953,0.1069,0.1466,0.594,16.5438,0.5332,0.1045
0.573,16.4743,0.4308,0.1165,-0.5485,37.8262,0.0640,0.1440,0.5821,16.3914,0.5607,0.1039
0.5795,16.4627,0.435,0.1169,-0.5510,37.4926,0.1072,0.1426,0.5646,16.3214,0.5289,0.1034
0.5764,16.2404,0.4322,0.1184,-0.5008,37.4754,0.0697,0.1449,0.5776,16.3352,0.549,0.1049
0.5517,16.2653,0.3674,0.1217,-0.4857,37.4322,0.1546,0.1427,0.5745,16.2909,0.5359,0.1032
0.5405,16.5019,0.441,0.1155,-0.5230,37.5389,0.1572,0.1440,0.5943,16.3618,0.5427,0.1054
0.5805,16.2983,0.4293,0.1166,-0.4776,37.5021,0.0320,0.1454,0.5895,16.233,0.5374,0.1063
0.558,16.4515,0.4025,0.1196,-0.5516,37.5388,0.0414,0.1450,0.5695,16.1499,0.5337,0.1049
0.5891,16.221,0.3646,0.1216,-0.5080,37.6955,0.1397,0.1446,0.5607,16.4602,0.5395,0.1022
0.6001,16.2809,0.448,0.1165,-0.4732,37.5670,0.1126,0.1451,0.5755,16.5711,0.5419,0.1062
0.584,16.1727,0.4287,0.1192,-0.4904,37.5875,0.0452,0.1460,0.5727,16.3081,0.5476,0.1052
0.5653,16.5352,0.4024,0.1222,-0.4952,37.4244,0.0966,0.1449,0.5861,16.3945,0.5592,0.1031
0.577,16.5284,0.4528,0.1168,-0.5047,37.3735,0.1210,0.1433,0.5924,16.461,0.5186,0.1063
0.572,16.5875,0.41,0.1203,-0.4851,37.6032,-0.0227,0.1491,0.5442,16.5223,0.5346,0.1059
0.5689,16.2511,0.4151,0.1183,-0.5478,37.5909,0.0594,0.1435,0.5824,16.355,0.5456,0.1027
0.5599,16.3521,0.4482,0.1165,-0.4952,37.5784,0.1349,0.1437,0.5794,16.4883,0.55,0.1026
0.5785,16.3821,0.4345,0.1192,-0.5599,37.6022,-0.0237,0.1478,0.536,16.9562,0.5207,0.1038
0.5897,16.3898,0.3957,0.1204,-0.5017,37.4291,0.0649,0.1438,0.5889,16.2949,0.5664,0.1031
0.5842,16.2562,0.3801,0.1216,-0.5361,37.3738,0.1479,0.1437,0.5523,16.4131,0.5615,0.1065
0.5849,16.4845,0.3998,0.1189,-0.4664,37.3941,0.1022,0.1437,0.5862,16.3197,0.527,0.1021
0.5848,16.3352,0.42,0.1194,-0.5410,37.7637,0.1077,0.1455,0.5856,16.4146,0.5079,0.1085
0.5856,16.307,0.4141,0.1183,-0.4915,37.6472,0.0377,0.1463,0.6019,16.5764,0.5395,0.1045
0.5709,16.2944,0.3933,0.1209,-0.4546,37.4936,0.0720,0.1478,0.5841,16.3922,0.4977,0.1093
0.5744,16.2514,0.3332,0.1247,-0.4958,37.4319,0.0554,0.1445,0.5709,16.3481,0.5554,0.105
0.549,16.4896,0.394,0.1191,-0.5571,37.6466,0.0555,0.1453,0.581,16.7021,0.5578,0.1055
0.5773,16.3775,0.3727,0.1191,-0.4552,37.5200,0.0895,0.1443,0.5806,16.5178,0.5681,0.101
0.5741,16.3633,0.4454,0.118,-0.4885,37.5869,0.0875,0.1439,0.5713,16.6661,0.5312,0.1062
0.5614,16.566,0.4041,0.12,-0.4669,37.5838,0.1344,0.1435,0.5604,16.7337,0.5593,0.1035
0.5638,16.4769,0.4293,0.1177,-0.4999,37.3774,0.0796,0.1469,0.5723,16.7143,0.5627,0.1061
0.5927,16.1679,0.3835,0.1205,-0.4787,37.4129,0.1153,0.1438,0.5086,16.9063,0.5702,0.1026
0.5441,16.6733,0.4053,0.1187,-0.4715,37.4604,0.0994,0.1442,0.6062,16.1917,0.5858,0.1027
0.5711,16.422,0.3845,0.1213,-0.5467,37.4891,0.1193,0.1446,0.5502,16.4814,0.5308,0.107
0.5444,16.556,0.3599,0.1226,-0.5848,37.8745,0.1017,0.1446,0.5897,16.4743,0.5484,0.1062
0.5732,16.4684,0.413,0.1191,-0.4634,37.4386,0.0992,0.1457,0.5605,16.387,0.573,0.1026
0.5585,16.5733,0.4173,0.1197,-0.5215,37.5130,0.0453,0.1495,0.5806,16.3149,0.5016,0.1078
0.5718,16.271,0.436,0.1178,-0.4899,37.7157,0.0726,0.1447,0.5724,16.3423,0.5393,0.1038
0.5908,16.0435,0.4295,0.1172,-0.5055,37.5463,0.1768,0.1430,0.5771,16.5339,0.5456,0.1058
0.5519,16.2559,0.4297,0.1169,-0.5131,37.5609,0.0618,0.1467,0.5791,16.2384,0.5498,0.1021
0.5396,16.6985,0.3746,0.1214,-0.5455,37.6593,0.1284,0.1439,0.5293,16.6665,0.5164,0.1025
0.5704,16.264,0.4095,0.1191,-0.4764,37.4280,0.1350,0.1438,0.5775,16.2291,0.574,0.1039
0.5674,16.3563,0.4457,0.1172,-0.4503,37.3472,0.1091,0.1440,0.5213,16.7006,0.5577,0.1045
0.588,16.2063,0.4104,0.1198,-0.4584,37.3998,0.1046,0.1458,0.5544,16.8016,0.5402,0.1036
0.574,16.1415,0.4044,0.1195,-0.4467,37.4218,0.1001,0.1433,0.5431,16.7778,0.5288,0.1041
0.5662,16.2647,0.4416,0.1181,-0.4634,37.4364,0.1060,0.1449,0.5906,16.3122,0.535,0.1042
0.5598,16.2732,0.381,0.1217,-0.5873,37.6900,0.0635,0.1462,0.5503,16.6698,0.532,0.1057
0.5358,16.5891,0.422,0.1192,-0.4525,37.3876,0.1167,0.1449,0.5599,16.6141,0.5358,0.1058
0.5117,16.6628,0.4499,0.1174,-0.4762,37.3590,0.1335,0.1440,0.5566,16.3829,0.5673,0.1041
0.5782,16.0105,0.4188,0.1206,-0.7231,37.9781,0.0755,0.1455,0.5819,16.3327,0.5533,0.1058
