"OH_tg_r2,OH_tg_mae,OH_iv_r2,OH_iv_mae,simp_tg_r2,simp_tg_mae,simp_iv_r2,simp_iv_mae,OHS_tg_r2,OHS_tg_mae,OHS_iv_r2,OHS_iv_mae"
"0.5469,16.6567,0.3989,0.1191,0.013297782,27.3291994,0.624784197,0.088330363,0.5473,16.8079,0.539,0.1073"
"0.5393,16.5598,0.3923,0.1203,-0.013698516,27.80586607,0.662991548,0.085795465,0.5587,16.6032,0.5467,0.1055"
"0.5376,16.443,0.3979,0.1191,-0.037449516,27.58539286,0.632310956,0.088277355,0.594,16.5438,0.5332,0.1045"
"0.573,16.4743,0.4308,0.1165,0.062548905,27.01649107,0.649407223,0.085337873,0.5821,16.3914,0.5607,0.1039"
"0.5795,16.4627,0.435,0.1169,-0.028846339,27.83714881,0.644519994,0.086882663,0.5646,16.3214,0.5289,0.1034"
"0.5764,16.2404,0.4322,0.1184,0.006994126,27.70672024,0.629227889,0.089092674,0.5776,16.3352,0.549,0.1049"
"0.5517,16.2653,0.3674,0.1217,-0.024564777,27.92771726,0.645983751,0.088276545,0.5745,16.2909,0.5359,0.1032"
"0.5405,16.5019,0.441,0.1155,0.010256907,27.5688869,0.594731176,0.091265637,0.5943,16.3618,0.5427,0.1054"
"0.5805,16.2983,0.4293,0.1166,-0.002185792,27.2115119,0.620642989,0.088373788,0.5895,16.233,0.5374,0.1063"
"0.558,16.4515,0.4025,0.1196,0.024045605,27.83999107,0.631758897,0.087615072,0.5695,16.1499,0.5337,0.1049"
"0.5891,16.221,0.3646,0.1216,-0.006387642,27.65203274,0.612879589,0.08930664,0.5607,16.4602,0.5395,0.1022"
"0.6001,16.2809,0.448,0.1165,0.007945973,27.82237202,0.630252984,0.087221082,0.5755,16.5711,0.5419,0.1062"
"0.584,16.1727,0.4287,0.1192,-0.020875597,27.62909226,0.605022785,0.086934352,0.5727,16.3081,0.5476,0.1052"
"0.5653,16.5352,0.4024,0.1222,-0.000328601,27.25842262,0.628842611,0.089323399,0.5861,16.3945,0.5592,0.1031"
"0.577,16.5284,0.4528,0.1168,0.017918804,27.41907738,0.664380654,0.086674279,0.5924,16.461,0.5186,0.1063"
"0.572,16.5875,0.41,0.1203,0.008012697,27.17204167,0.616378191,0.089642508,0.5442,16.5223,0.5346,0.1059"
"0.5689,16.2511,0.4151,0.1183,-0.081257265,28.80598214,0.626069442,0.086308048,0.5824,16.355,0.5456,0.1027"
"0.5599,16.3521,0.4482,0.1165,0.000159155,27.14700595,0.614983688,0.088754792,0.5794,16.4883,0.55,0.1026"
"0.5785,16.3821,0.4345,0.1192,-0.06169897,27.79541667,0.616369178,0.088854505,0.536,16.9562,0.5207,0.1038"
"0.5897,16.3898,0.3957,0.1204,0.023855277,27.3777619,0.640608105,0.089670437,0.5889,16.2949,0.5664,0.1031"
"0.5842,16.2562,0.3801,0.1216,-0.060274809,28.52492857,0.591690245,0.089545202,0.5523,16.4131,0.5615,0.1065"
"0.5849,16.4845,0.3998,0.1189,0.016708918,27.58339286,0.634584295,0.087184718,0.5862,16.3197,0.527,0.1021"
"0.5848,16.3352,0.42,0.1194,-0.06641963,28.12853274,0.625560142,0.08893841,0.5856,16.4146,0.5079,0.1085"
"0.5856,16.307,0.4141,0.1183,-0.008190618,27.5041131,0.644761325,0.085283714,0.6019,16.5764,0.5395,0.1045"
"0.5709,16.2944,0.3933,0.1209,0.013020077,27.03143452,0.676388965,0.085843842,0.5841,16.3922,0.4977,0.1093"
"0.5744,16.2514,0.3332,0.1247,-0.153376647,29.40411607,0.656241087,0.088005298,0.5709,16.3481,0.5554,0.105"
"0.549,16.4896,0.394,0.1191,0.001744606,27.77281548,0.619276443,0.088310207,0.581,16.7021,0.5578,0.1055"
"0.5773,16.3775,0.3727,0.1191,-0.025496733,27.7505625,0.627254431,0.087580143,0.5806,16.5178,0.5681,0.101"
"0.5741,16.3633,0.4454,0.118,0.00453722,27.34856845,0.64957788,0.086050269,0.5713,16.6661,0.5312,0.1062"
"0.5614,16.566,0.4041,0.12,0.037239742,27.11430357,0.618560811,0.087979581,0.5604,16.7337,0.5593,0.1035"
"0.5638,16.4769,0.4293,0.1177,0.004305806,27.4905744,0.62312014,0.089760616,0.5723,16.7143,0.5627,0.1061"
"0.5927,16.1679,0.3835,0.1205,0.001021862,27.51989583,0.626744132,0.087574504,0.5086,16.9063,0.5702,0.1026"
"0.5441,16.6733,0.4053,0.1187,0.022759762,27.91327083,0.634764921,0.087856794,0.6062,16.1917,0.5858,0.1027"
"0.5711,16.422,0.3845,0.1213,0.032674918,27.16256845,0.611997936,0.086653767,0.5502,16.4814,0.5308,0.107"
"0.5444,16.556,0.3599,0.1226,0.035353409,27.1564881,0.61513154,0.0895289,0.5897,16.4743,0.5484,0.1062"
"0.5732,16.4684,0.413,0.1191,0.027810528,26.90154167,0.608726975,0.087416919,0.5605,16.387,0.573,0.1026"
"0.5585,16.5733,0.4173,0.1197,0.029632767,27.27801786,0.593600971,0.089859177,0.5806,16.3149,0.5016,0.1078"
"0.5718,16.271,0.436,0.1178,0.016723372,27.50147619,0.656106598,0.086616256,0.5724,16.3423,0.5393,0.1038"
"0.5908,16.0435,0.4295,0.1172,-0.013258935,27.30837202,0.635949477,0.088351725,0.5771,16.5339,0.5456,0.1058"
"0.5519,16.2559,0.4297,0.1169,-0.014859837,27.89595536,0.64656611,0.086371586,0.5791,16.2384,0.5498,0.1021"
"0.5396,16.6985,0.3746,0.1214,-0.070537631,28.10270238,0.641557214,0.085815263,0.5293,16.6665,0.5164,0.1025"
"0.5704,16.264,0.4095,0.1191,0.030528611,26.90369048,0.596778784,0.088974032,0.5775,16.2291,0.574,0.1039"
"0.5674,16.3563,0.4457,0.1172,0.016372912,27.38049405,0.653156875,0.086396351,0.5213,16.7006,0.5577,0.1045"
